stop_word,isEntity
normal,1
intake,1
intakes,1
known,1
preventing,1
has,1
have,1
influences,1
influence,1
identified,1
decreases,1
associated,1
associated with,1
not,1
acts,1
act,1
decrease,1
high,1
low,1
lower,1
higher,1
other,1
on,1
affect,1
affects,1
i,1
ii,1
iii,1
is,1
a,1
46,1
24,1
use,1
uses,1
targeting,1
or,1
25,1
be,1
part,1
parts,1
pre,1
light,1
novel,1
none,1
all,1
total,1
with,1
without,1
reported,1
half,1
benefits,1
benefit,1
changes,1
change,1
new,1
be,1
are,1
as,1
at,1
and,1
this,1
well,1
may,1
increase,1
share,1
related,1
high,1
associated,1
links,1
play,1
plays,1
help,1
helps,1
under,0
now,0
well,0
while,0
ai,0
ua,0
's,0
-,0
